INDEX,PROVIDER_NAME,MONTH,BILLING_COMPL_PCT,NOTE_COMPL_PCT,DOCUMENTATION_COMPL_PCT
1076,Ignacio Griffin,November,0.820,0.890,0.855
1176,Ignacio Griffin,December,0.960,0.880,0.92
71,Ivan Steele,January,0.750,0.840,0.795
171,Ivan Steele,February,0.790,0.880,0.835
271,Ivan Steele,March,0.890,0.750,0.82
371,Ivan Steele,April,0.900,0.760,0.83
471,Ivan Steele,May,0.990,0.790,0.89
571,Ivan Steele,June,0.900,0.790,0.845
671,Ivan Steele,July,0.800,0.760,0.78
771,Ivan Steele,August,0.770,0.790,0.78
871,Ivan Steele,September,0.990,0.810,0.9
971,Ivan Steele,October,1.000,0.800,0.9
1071,Ivan Steele,November,0.860,0.800,0.83
1171,Ivan Steele,December,0.970,0.880,0.925
89,Jan Sexton,January,0.830,0.890,0.86
189,Jan Sexton,February,0.750,0.880,0.815
289,Jan Sexton,March,0.920,0.750,0.835
389,Jan Sexton,April,0.870,0.900,0.885
489,Jan Sexton,May,1.000,0.900,0.95
589,Jan Sexton,June,0.930,0.770,0.85
689,Jan Sexton,July,0.920,0.770,0.845
789,Jan Sexton,August,0.970,0.870,0.92
889,Jan Sexton,September,1.000,0.860,0.93
989,Jan Sexton,October,0.890,0.750,0.82
1089,Jan Sexton,November,0.870,0.840,0.855
1189,Jan Sexton,December,0.790,0.820,0.805
85,Janet Salazar,January,0.870,0.890,0.88
185,Janet Salazar,February,1.000,0.840,0.92
285,Janet Salazar,March,0.940,0.810,0.875
385,Janet Salazar,April,0.980,0.870,0.925
485,Janet Salazar,May,0.810,0.810,0.81
585,Janet Salazar,June,0.960,0.770,0.865
685,Janet Salazar,July,0.970,0.890,0.93
785,Janet Salazar,August,0.990,0.780,0.885
885,Janet Salazar,September,0.870,0.800,0.835
985,Janet Salazar,October,0.900,0.770,0.835
1085,Janet Salazar,November,0.900,0.830,0.865
1185,Janet Salazar,December,0.970,0.780,0.875
25,Jayne Barker,January,0.820,0.790,0.805
125,Jayne Barker,February,0.980,0.820,0.9
225,Jayne Barker,March,1.000,0.840,0.92
325,Jayne Barker,April,0.790,0.870,0.83
425,Jayne Barker,May,0.870,0.770,0.82
525,Jayne Barker,June,1.000,0.820,0.91
625,Jayne Barker,July,0.760,0.880,0.82
725,Jayne Barker,August,0.820,0.790,0.805
825,Jayne Barker,September,0.770,0.840,0.805
925,Jayne Barker,October,0.940,0.810,0.875
1025,Jayne Barker,November,0.910,0.870,0.89
1125,Jayne Barker,December,1.000,0.840,0.92
26,Jimmy Cornell,January,0.800,0.800,0.8
126,Jimmy Cornell,February,1.000,0.870,0.935
226,Jimmy Cornell,March,0.770,0.750,0.76
326,Jimmy Cornell,April,0.970,0.800,0.885
426,Jimmy Cornell,May,0.810,0.790,0.8
526,Jimmy Cornell,June,0.750,0.760,0.755
626,Jimmy Cornell,July,0.880,0.900,0.89
726,Jimmy Cornell,August,0.920,0.810,0.865
826,Jimmy Cornell,September,0.850,0.760,0.805
926,Jimmy Cornell,October,0.910,0.890,0.9
1026,Jimmy Cornell,November,0.990,0.870,0.93
1126,Jimmy Cornell,December,0.900,0.800,0.85
7,Johanna Piper,January,0.990,0.890,0.94
107,Johanna Piper,February,0.750,0.810,0.78
207,Johanna Piper,March,0.970,0.770,0.87
307,Johanna Piper,April,0.790,0.810,0.8
407,Johanna Piper,May,0.790,0.790,0.79
507,Johanna Piper,June,0.820,0.890,0.855
607,Johanna Piper,July,0.940,0.790,0.865
707,Johanna Piper,August,0.970,0.800,0.885
807,Johanna Piper,September,0.970,0.870,0.92
907,Johanna Piper,October,0.810,0.860,0.835
1007,Johanna Piper,November,0.860,0.830,0.845
1107,Johanna Piper,December,0.840,0.860,0.85
86,Josh Peters,January,0.960,0.820,0.89
186,Josh Peters,February,0.870,0.770,0.82
286,Josh Peters,March,0.890,0.860,0.875
386,Josh Peters,April,0.810,0.850,0.83
486,Josh Peters,May,0.940,0.830,0.885
586,Josh Peters,June,0.790,0.790,0.79
686,Josh Peters,July,0.930,0.810,0.87
786,Josh Peters,August,0.810,0.840,0.825
886,Josh Peters,September,0.940,0.770,0.855
986,Josh Peters,October,0.820,0.840,0.83
1086,Josh Peters,November,0.840,0.790,0.815
1186,Josh Peters,December,0.850,0.770,0.81
18,Karin Byers,January,0.810,0.780,0.795
118,Karin Byers,February,0.760,0.750,0.755
218,Karin Byers,March,0.910,0.870,0.89
318,Karin Byers,April,0.860,0.890,0.875
418,Karin Byers,May,1.000,0.830,0.915
518,Karin Byers,June,0.800,0.900,0.85
618,Karin Byers,July,0.930,0.850,0.89
718,Karin Byers,August,0.800,0.870,0.835
818,Karin Byers,September,0.800,0.790,0.795
918,Karin Byers,October,0.880,0.830,0.855
1018,Karin Byers,November,0.980,0.880,0.93
1118,Karin Byers,December,0.880,0.770,0.825
63,Keith Navarro,January,0.990,0.790,0.89
163,Keith Navarro,February,0.970,0.830,0.9
263,Keith Navarro,March,0.840,0.900,0.87
363,Keith Navarro,April,0.950,0.790,0.87
463,Keith Navarro,May,0.960,0.890,0.925
563,Keith Navarro,June,0.880,0.800,0.84
663,Keith Navarro,July,0.820,0.780,0.8
763,Keith Navarro,August,1.000,0.820,0.91
863,Keith Navarro,September,0.900,0.850,0.875
963,Keith Navarro,October,0.780,0.760,0.77
1063,Keith Navarro,November,0.960,0.770,0.865
1163,Keith Navarro,December,0.900,0.850,0.875
66,Kerri Kent,January,0.810,0.750,0.78
166,Kerri Kent,February,0.950,0.870,0.91
266,Kerri Kent,March,0.880,0.840,0.86
366,Kerri Kent,April,0.860,0.770,0.815
466,Kerri Kent,May,1.000,0.790,0.895
566,Kerri Kent,June,0.970,0.800,0.885
666,Kerri Kent,July,0.830,0.900,0.865
766,Kerri Kent,August,0.830,0.820,0.825
866,Kerri Kent,September,0.930,0.790,0.86
966,Kerri Kent,October,0.890,0.840,0.865
1066,Kerri Kent,November,0.780,0.900,0.84
1166,Kerri Kent,December,0.980,0.840,0.91
81,Kirsten Dodge,January,0.940,0.760,0.85
181,Kirsten Dodge,February,0.900,0.790,0.845
281,Kirsten Dodge,March,0.940,0.770,0.855
381,Kirsten Dodge,April,0.750,0.780,0.765
481,Kirsten Dodge,May,0.900,0.860,0.88
581,Kirsten Dodge,June,0.790,0.760,0.775
681,Kirsten Dodge,July,0.990,0.870,0.93
781,Kirsten Dodge,August,0.750,0.880,0.815
881,Kirsten Dodge,September,0.940,0.840,0.89
981,Kirsten Dodge,October,0.960,0.800,0.88
1081,Kirsten Dodge,November,0.970,0.760,0.865
1181,Kirsten Dodge,December,0.830,0.900,0.865
96,Larry Thomson,January,1.000,0.890,0.945
196,Larry Thomson,February,1.000,0.830,0.915
296,Larry Thomson,March,0.950,0.880,0.915
396,Larry Thomson,April,0.950,0.790,0.87
496,Larry Thomson,May,0.840,0.860,0.85
596,Larry Thomson,June,0.930,0.780,0.855
696,Larry Thomson,July,0.770,0.790,0.78
796,Larry Thomson,August,0.830,0.820,0.825
896,Larry Thomson,September,0.840,0.760,0.8
996,Larry Thomson,October,0.750,0.890,0.82
1096,Larry Thomson,November,0.950,0.820,0.885
1196,Larry Thomson,December,0.930,0.770,0.85
75,Laurel Weaver,January,0.780,0.770,0.775
175,Laurel Weaver,February,0.760,0.790,0.775
275,Laurel Weaver,March,0.890,0.850,0.87
375,Laurel Weaver,April,0.750,0.900,0.825
475,Laurel Weaver,May,0.790,0.840,0.815
575,Laurel Weaver,June,0.810,0.870,0.84
675,Laurel Weaver,July,0.810,0.870,0.84
775,Laurel Weaver,August,0.890,0.820,0.855
875,Laurel Weaver,September,0.980,0.810,0.895
975,Laurel Weaver,October,0.940,0.850,0.895
1075,Laurel Weaver,November,0.800,0.770,0.785
1175,Laurel Weaver,December,0.750,0.850,0.8
60,Laverne Sheridan,January,0.960,0.750,0.855
160,Laverne Sheridan,February,0.960,0.830,0.895
260,Laverne Sheridan,March,0.860,0.790,0.825
360,Laverne Sheridan,April,0.800,0.820,0.81
460,Laverne Sheridan,May,0.980,0.850,0.915
560,Laverne Sheridan,June,0.860,0.790,0.825
660,Laverne Sheridan,July,0.830,0.900,0.865
760,Laverne Sheridan,August,0.820,0.800,0.81
860,Laverne Sheridan,September,0.830,0.880,0.855
960,Laverne Sheridan,October,0.900,0.890,0.895
1060,Laverne Sheridan,November,0.900,0.870,0.885
1160,Laverne Sheridan,December,0.870,0.810,0.84
22,Lena Dorsey,January,0.800,0.890,0.845
122,Lena Dorsey,February,0.840,0.810,0.825
222,Lena Dorsey,March,0.850,0.870,0.86
322,Lena Dorsey,April,0.780,0.760,0.77
422,Lena Dorsey,May,0.860,0.750,0.805
522,Lena Dorsey,June,1.000,0.830,0.915
622,Lena Dorsey,July,0.950,0.860,0.905
722,Lena Dorsey,August,0.830,0.810,0.82
822,Lena Dorsey,September,0.950,0.900,0.925
922,Lena Dorsey,October,0.960,0.840,0.9
1022,Lena Dorsey,November,0.890,0.750,0.82
1122,Lena Dorsey,December,0.940,0.800,0.87
42,Leo Haney,January,0.850,0.850,0.85
142,Leo Haney,February,0.970,0.770,0.87
242,Leo Haney,March,1.000,0.900,0.95
342,Leo Haney,April,0.960,0.830,0.895
442,Leo Haney,May,1.000,0.750,0.875
542,Leo Haney,June,0.880,0.780,0.83
642,Leo Haney,July,0.900,0.830,0.865
742,Leo Haney,August,0.790,0.850,0.82
842,Leo Haney,September,1.000,0.760,0.88
942,Leo Haney,October,0.880,0.860,0.87
1042,Leo Haney,November,0.840,0.860,0.85
1142,Leo Haney,December,0.860,0.840,0.85
67,Lola Cowan,January,0.860,0.790,0.825
167,Lola Cowan,February,0.910,0.820,0.865
267,Lola Cowan,March,0.970,0.890,0.93
367,Lola Cowan,April,0.850,0.750,0.8
467,Lola Cowan,May,0.760,0.840,0.8
567,Lola Cowan,June,0.960,0.760,0.86
667,Lola Cowan,July,0.900,0.880,0.89
767,Lola Cowan,August,0.840,0.850,0.845
867,Lola Cowan,September,0.840,0.830,0.835
967,Lola Cowan,October,0.910,0.810,0.86
1067,Lola Cowan,November,0.970,0.800,0.885
1167,Lola Cowan,December,0.790,0.880,0.835
97,Louise Joyce,January,0.900,0.840,0.87
197,Louise Joyce,February,0.820,0.850,0.835
297,Louise Joyce,March,0.780,0.810,0.795
397,Louise Joyce,April,0.820,0.870,0.845
497,Louise Joyce,May,0.820,0.780,0.8
597,Louise Joyce,June,0.750,0.760,0.755
697,Louise Joyce,July,0.870,0.820,0.845
797,Louise Joyce,August,0.920,0.780,0.85
897,Louise Joyce,September,0.940,0.790,0.865
997,Louise Joyce,October,1.000,0.840,0.92
1097,Louise Joyce,November,0.970,0.850,0.91
1197,Louise Joyce,December,0.990,0.840,0.915
37,Luke Cobb,January,0.860,0.800,0.83
137,Luke Cobb,February,1.000,0.810,0.905
237,Luke Cobb,March,1.000,0.780,0.89
337,Luke Cobb,April,0.940,0.860,0.9
437,Luke Cobb,May,0.850,0.760,0.805
537,Luke Cobb,June,0.770,0.780,0.775
637,Luke Cobb,July,0.870,0.780,0.825
737,Luke Cobb,August,0.840,0.880,0.86
837,Luke Cobb,September,0.860,0.750,0.805
937,Luke Cobb,October,0.950,0.760,0.855
1037,Luke Cobb,November,0.900,0.860,0.88
1137,Luke Cobb,December,0.910,0.870,0.89
16,Lupe Glenn,January,0.790,0.790,0.79
116,Lupe Glenn,February,0.800,0.890,0.845
216,Lupe Glenn,March,0.870,0.840,0.855
316,Lupe Glenn,April,0.760,0.840,0.8
416,Lupe Glenn,May,0.990,0.750,0.87
516,Lupe Glenn,June,1.000,0.860,0.93
616,Lupe Glenn,July,0.860,0.810,0.835
716,Lupe Glenn,August,0.910,0.880,0.895
816,Lupe Glenn,September,0.770,0.890,0.83
916,Lupe Glenn,October,1.000,0.800,0.9
1016,Lupe Glenn,November,0.780,0.900,0.84
1116,Lupe Glenn,December,0.930,0.820,0.875
53,Lyle Floyd,January,0.780,0.840,0.81
153,Lyle Floyd,February,0.990,0.850,0.92
253,Lyle Floyd,March,0.810,0.840,0.825
353,Lyle Floyd,April,0.750,0.750,0.75
453,Lyle Floyd,May,0.940,0.830,0.885
553,Lyle Floyd,June,0.940,0.890,0.915
653,Lyle Floyd,July,0.790,0.830,0.81
753,Lyle Floyd,August,0.770,0.750,0.76
853,Lyle Floyd,September,0.890,0.890,0.89
953,Lyle Floyd,October,0.940,0.790,0.865
1053,Lyle Floyd,November,0.770,0.790,0.78
1153,Lyle Floyd,December,0.870,0.820,0.845
15,Marian Terry,January,0.850,0.780,0.815
115,Marian Terry,February,0.930,0.830,0.88
215,Marian Terry,March,0.960,0.860,0.91
315,Marian Terry,April,0.800,0.770,0.785
415,Marian Terry,May,0.880,0.900,0.89
515,Marian Terry,June,0.950,0.860,0.905
615,Marian Terry,July,0.810,0.790,0.8
715,Marian Terry,August,0.850,0.830,0.84
815,Marian Terry,September,0.760,0.780,0.77
915,Marian Terry,October,1.000,0.770,0.885
1015,Marian Terry,November,0.910,0.860,0.885
1115,Marian Terry,December,0.860,0.890,0.875
51,Marie Willis,January,1.000,0.780,0.89
151,Marie Willis,February,0.810,0.790,0.8
251,Marie Willis,March,0.990,0.810,0.9
351,Marie Willis,April,0.860,0.900,0.88
451,Marie Willis,May,0.830,0.760,0.795
551,Marie Willis,June,0.820,0.830,0.825
651,Marie Willis,July,0.750,0.840,0.795
751,Marie Willis,August,0.880,0.750,0.815
851,Marie Willis,September,0.820,0.750,0.785
951,Marie Willis,October,0.980,0.870,0.925
1051,Marie Willis,November,0.980,0.870,0.925
1151,Marie Willis,December,0.820,0.750,0.785
10,Marty Eastman,January,0.760,0.810,0.785
110,Marty Eastman,February,0.770,0.840,0.805
210,Marty Eastman,March,0.840,0.840,0.84
310,Marty Eastman,April,0.880,0.890,0.885
410,Marty Eastman,May,0.900,0.770,0.835
510,Marty Eastman,June,0.990,0.790,0.89
610,Marty Eastman,July,0.880,0.780,0.83
710,Marty Eastman,August,0.890,0.860,0.875
810,Marty Eastman,September,1.000,0.890,0.945
910,Marty Eastman,October,0.960,0.840,0.9
1010,Marty Eastman,November,0.800,0.900,0.85
1110,Marty Eastman,December,1.000,0.870,0.935
47,Melvin Lockwood,January,0.850,0.880,0.865
147,Melvin Lockwood,February,0.790,0.870,0.83
247,Melvin Lockwood,March,0.780,0.820,0.8
347,Melvin Lockwood,April,0.810,0.850,0.83
447,Melvin Lockwood,May,0.960,0.840,0.9
547,Melvin Lockwood,June,0.950,0.810,0.88
647,Melvin Lockwood,July,0.810,0.760,0.785
747,Melvin Lockwood,August,0.810,0.900,0.855
847,Melvin Lockwood,September,0.830,0.890,0.86
947,Melvin Lockwood,October,0.830,0.750,0.79
1047,Melvin Lockwood,November,0.890,0.830,0.86
1147,Melvin Lockwood,December,0.890,0.890,0.89
3,Mercedes McIntyre,January,0.820,0.760,0.79
103,Mercedes McIntyre,February,0.960,0.780,0.87
203,Mercedes McIntyre,March,0.800,0.860,0.83
303,Mercedes McIntyre,April,0.960,0.840,0.9
403,Mercedes McIntyre,May,0.990,0.770,0.88
503,Mercedes McIntyre,June,0.760,0.780,0.77
603,Mercedes McIntyre,July,0.940,0.810,0.875
703,Mercedes McIntyre,August,0.860,0.830,0.845
803,Mercedes McIntyre,September,0.830,0.880,0.855
903,Mercedes McIntyre,October,0.840,0.830,0.835
1003,Mercedes McIntyre,November,0.950,0.810,0.88
1103,Mercedes McIntyre,December,0.820,0.820,0.82
32,Olga Law,January,0.880,0.760,0.82
132,Olga Law,February,0.880,0.780,0.83
232,Olga Law,March,0.790,0.900,0.845
332,Olga Law,April,0.780,0.750,0.765
432,Olga Law,May,0.880,0.750,0.815
532,Olga Law,June,0.750,0.780,0.765
632,Olga Law,July,0.920,0.770,0.845
732,Olga Law,August,0.910,0.860,0.885
832,Olga Law,September,0.950,0.780,0.865
932,Olga Law,October,0.900,0.890,0.895
1032,Olga Law,November,1.000,0.880,0.94
1132,Olga Law,December,0.920,0.900,0.91
84,Omar Donovan,January,0.880,0.840,0.86
184,Omar Donovan,February,0.780,0.860,0.82
284,Omar Donovan,March,0.940,0.760,0.85
384,Omar Donovan,April,0.780,0.760,0.77
484,Omar Donovan,May,0.960,0.800,0.88
584,Omar Donovan,June,0.930,0.750,0.84
684,Omar Donovan,July,0.880,0.900,0.89
784,Omar Donovan,August,0.760,0.760,0.76
884,Omar Donovan,September,0.750,0.900,0.825
984,Omar Donovan,October,0.870,0.890,0.88
1084,Omar Donovan,November,0.890,0.750,0.82
1184,Omar Donovan,December,0.970,0.790,0.88
78,Pablo Bruce,January,0.750,0.750,0.75
178,Pablo Bruce,February,0.990,0.890,0.94
278,Pablo Bruce,March,0.900,0.840,0.87
378,Pablo Bruce,April,0.910,0.800,0.855
478,Pablo Bruce,May,0.830,0.840,0.835
578,Pablo Bruce,June,0.900,0.870,0.885
678,Pablo Bruce,July,0.780,0.880,0.83
778,Pablo Bruce,August,0.920,0.890,0.905
878,Pablo Bruce,September,0.970,0.860,0.915
978,Pablo Bruce,October,0.890,0.870,0.88
1078,Pablo Bruce,November,0.790,0.810,0.8
1178,Pablo Bruce,December,0.930,0.870,0.9
34,Patrick Kenney,January,0.750,0.850,0.8
134,Patrick Kenney,February,0.920,0.760,0.84
234,Patrick Kenney,March,0.750,0.860,0.805
334,Patrick Kenney,April,0.770,0.800,0.785
434,Patrick Kenney,May,0.910,0.770,0.84
534,Patrick Kenney,June,0.900,0.880,0.89
634,Patrick Kenney,July,0.750,0.880,0.815
734,Patrick Kenney,August,0.800,0.750,0.775
834,Patrick Kenney,September,0.870,0.810,0.84
934,Patrick Kenney,October,0.780,0.750,0.765
1034,Patrick Kenney,November,0.830,0.900,0.865
1134,Patrick Kenney,December,0.880,0.750,0.815
9,Penny Gutierrez,January,0.830,0.760,0.795
109,Penny Gutierrez,February,0.820,0.850,0.835
209,Penny Gutierrez,March,0.810,0.900,0.855
309,Penny Gutierrez,April,0.990,0.770,0.88
409,Penny Gutierrez,May,0.760,0.900,0.83
509,Penny Gutierrez,June,1.000,0.880,0.94
609,Penny Gutierrez,July,0.920,0.760,0.84
709,Penny Gutierrez,August,0.830,0.860,0.845
809,Penny Gutierrez,September,0.880,0.890,0.885
909,Penny Gutierrez,October,0.990,0.830,0.91
1009,Penny Gutierrez,November,0.820,0.900,0.86
1109,Penny Gutierrez,December,0.970,0.860,0.915
98,Phyllis Gardner,January,0.820,0.850,0.835
198,Phyllis Gardner,February,0.880,0.880,0.88
298,Phyllis Gardner,March,0.800,0.890,0.845
398,Phyllis Gardner,April,0.760,0.880,0.82
498,Phyllis Gardner,May,0.970,0.850,0.91
598,Phyllis Gardner,June,0.990,0.860,0.925
698,Phyllis Gardner,July,0.860,0.760,0.81
798,Phyllis Gardner,August,0.840,0.840,0.84
898,Phyllis Gardner,September,0.820,0.770,0.795
998,Phyllis Gardner,October,0.970,0.750,0.86
1098,Phyllis Gardner,November,1.000,0.810,0.905
1198,Phyllis Gardner,December,0.750,0.850,0.8
93,Rebekah Winters,January,0.890,0.760,0.825
193,Rebekah Winters,February,0.850,0.870,0.86
293,Rebekah Winters,March,0.890,0.800,0.845
393,Rebekah Winters,April,0.970,0.800,0.885
493,Rebekah Winters,May,0.770,0.860,0.815
593,Rebekah Winters,June,0.920,0.820,0.87
693,Rebekah Winters,July,0.980,0.890,0.935
793,Rebekah Winters,August,0.930,0.810,0.87
893,Rebekah Winters,September,0.840,0.870,0.855
993,Rebekah Winters,October,0.900,0.790,0.845
1093,Rebekah Winters,November,0.870,0.840,0.855
1193,Rebekah Winters,December,0.910,0.760,0.835
83,Robert Atkins,January,1.000,0.820,0.91
183,Robert Atkins,February,0.790,0.870,0.83
283,Robert Atkins,March,0.990,0.790,0.89
383,Robert Atkins,April,0.800,0.810,0.805
483,Robert Atkins,May,0.760,0.750,0.755
583,Robert Atkins,June,0.910,0.820,0.865
683,Robert Atkins,July,0.850,0.840,0.845
783,Robert Atkins,August,0.840,0.770,0.805
883,Robert Atkins,September,0.950,0.810,0.88
983,Robert Atkins,October,0.770,0.790,0.78
1083,Robert Atkins,November,0.870,0.850,0.86
1183,Robert Atkins,December,0.960,0.850,0.905
55,Rochelle Ingram,January,0.850,0.780,0.815
155,Rochelle Ingram,February,0.930,0.750,0.84
255,Rochelle Ingram,March,0.880,0.790,0.835
355,Rochelle Ingram,April,0.900,0.760,0.83
455,Rochelle Ingram,May,0.940,0.890,0.915
555,Rochelle Ingram,June,0.750,0.880,0.815
655,Rochelle Ingram,July,0.860,0.760,0.81
755,Rochelle Ingram,August,0.960,0.840,0.9
855,Rochelle Ingram,September,0.790,0.780,0.785
955,Rochelle Ingram,October,0.750,0.850,0.8
1055,Rochelle Ingram,November,1.000,0.840,0.92
1155,Rochelle Ingram,December,1.000,0.780,0.89
100,Rogelio Keller,January,0.990,0.810,0.9
200,Rogelio Keller,February,0.760,0.840,0.8
300,Rogelio Keller,March,0.960,0.840,0.9
400,Rogelio Keller,April,0.830,0.770,0.8
500,Rogelio Keller,May,0.870,0.750,0.81
600,Rogelio Keller,June,0.800,0.760,0.78
700,Rogelio Keller,July,0.810,0.790,0.8
800,Rogelio Keller,August,0.820,0.850,0.835
900,Rogelio Keller,September,0.800,0.830,0.815
1000,Rogelio Keller,October,0.860,0.750,0.805
1100,Rogelio Keller,November,0.890,0.800,0.845
1200,Rogelio Keller,December,0.860,0.810,0.835
27,Salvatore Munoz,January,0.870,0.800,0.835
127,Salvatore Munoz,February,0.980,0.750,0.865
227,Salvatore Munoz,March,0.870,0.780,0.825
327,Salvatore Munoz,April,0.780,0.780,0.78
427,Salvatore Munoz,May,0.910,0.900,0.905
527,Salvatore Munoz,June,0.990,0.900,0.945
627,Salvatore Munoz,July,0.950,0.870,0.91
727,Salvatore Munoz,August,0.930,0.830,0.88
827,Salvatore Munoz,September,0.810,0.870,0.84
927,Salvatore Munoz,October,1.000,0.770,0.885
1027,Salvatore Munoz,November,0.940,0.820,0.88
1127,Salvatore Munoz,December,0.850,0.870,0.86
69,Sandra Hurst,January,0.770,0.780,0.775
169,Sandra Hurst,February,0.770,0.830,0.8
269,Sandra Hurst,March,0.920,0.840,0.88
369,Sandra Hurst,April,0.970,0.770,0.87
469,Sandra Hurst,May,0.750,0.840,0.795
569,Sandra Hurst,June,0.820,0.880,0.85
669,Sandra Hurst,July,0.960,0.880,0.92
769,Sandra Hurst,August,0.830,0.850,0.84
869,Sandra Hurst,September,0.950,0.900,0.925
969,Sandra Hurst,October,0.790,0.760,0.775
1069,Sandra Hurst,November,0.850,0.830,0.84
1169,Sandra Hurst,December,0.830,0.760,0.795
40,Santos Francis,January,0.780,0.810,0.795
140,Santos Francis,February,0.870,0.810,0.84
240,Santos Francis,March,0.790,0.810,0.8
340,Santos Francis,April,0.790,0.840,0.815
440,Santos Francis,May,1.000,0.820,0.91
540,Santos Francis,June,0.940,0.850,0.895
640,Santos Francis,July,0.850,0.790,0.82
740,Santos Francis,August,0.750,0.830,0.79
840,Santos Francis,September,0.940,0.860,0.9
940,Santos Francis,October,0.810,0.790,0.8
1040,Santos Francis,November,0.810,0.890,0.85
1140,Santos Francis,December,0.790,0.890,0.84
65,Scott Owens,January,0.790,0.880,0.835
165,Scott Owens,February,0.990,0.770,0.88
265,Scott Owens,March,0.950,0.780,0.865
365,Scott Owens,April,0.900,0.890,0.895
465,Scott Owens,May,0.790,0.790,0.79
565,Scott Owens,June,0.800,0.760,0.78
665,Scott Owens,July,0.870,0.840,0.855
765,Scott Owens,August,0.920,0.860,0.89
865,Scott Owens,September,0.800,0.900,0.85
965,Scott Owens,October,0.800,0.900,0.85
1065,Scott Owens,November,0.930,0.810,0.87
1165,Scott Owens,December,0.830,0.750,0.79
29,Sean Gomez,January,0.940,0.860,0.9
129,Sean Gomez,February,0.790,0.780,0.785
229,Sean Gomez,March,0.940,0.780,0.86
329,Sean Gomez,April,0.810,0.880,0.845
429,Sean Gomez,May,0.750,0.860,0.805
529,Sean Gomez,June,0.840,0.860,0.85
629,Sean Gomez,July,0.750,0.890,0.82
729,Sean Gomez,August,0.820,0.760,0.79
829,Sean Gomez,September,0.970,0.790,0.88
929,Sean Gomez,October,0.850,0.890,0.87
1029,Sean Gomez,November,0.820,0.770,0.795
1129,Sean Gomez,December,0.970,0.750,0.86
88,Sharon Morrison,January,0.910,0.880,0.895
188,Sharon Morrison,February,0.830,0.750,0.79
288,Sharon Morrison,March,0.980,0.790,0.885
388,Sharon Morrison,April,0.780,0.800,0.79
488,Sharon Morrison,May,0.890,0.840,0.865
588,Sharon Morrison,June,0.800,0.890,0.845
688,Sharon Morrison,July,0.760,0.870,0.815
788,Sharon Morrison,August,0.950,0.830,0.89
888,Sharon Morrison,September,0.940,0.840,0.89
988,Sharon Morrison,October,0.930,0.890,0.91
1088,Sharon Morrison,November,0.790,0.830,0.81
1188,Sharon Morrison,December,0.820,0.900,0.86
6,Sherrie Chavez,January,0.960,0.900,0.93
106,Sherrie Chavez,February,0.880,0.840,0.86
206,Sherrie Chavez,March,0.830,0.780,0.805
306,Sherrie Chavez,April,0.920,0.860,0.89
406,Sherrie Chavez,May,0.770,0.860,0.815
506,Sherrie Chavez,June,0.850,0.830,0.84
606,Sherrie Chavez,July,0.920,0.750,0.835
706,Sherrie Chavez,August,0.970,0.820,0.895
806,Sherrie Chavez,September,0.830,0.810,0.82
906,Sherrie Chavez,October,0.760,0.850,0.805
1006,Sherrie Chavez,November,0.920,0.810,0.865
1106,Sherrie Chavez,December,0.820,0.820,0.82
79,Stacy Short,January,0.770,0.830,0.8
179,Stacy Short,February,0.990,0.790,0.89
279,Stacy Short,March,0.810,0.890,0.85
379,Stacy Short,April,0.810,0.830,0.82
479,Stacy Short,May,0.750,0.860,0.805
579,Stacy Short,June,0.790,0.810,0.8
679,Stacy Short,July,0.950,0.900,0.925
779,Stacy Short,August,0.780,0.840,0.81
879,Stacy Short,September,0.830,0.820,0.825
979,Stacy Short,October,0.890,0.750,0.82
1079,Stacy Short,November,0.750,0.820,0.785
1179,Stacy Short,December,1.000,0.790,0.895
62,Tanya Cooper,January,0.900,0.820,0.86
162,Tanya Cooper,February,0.800,0.770,0.785
262,Tanya Cooper,March,0.870,0.850,0.86
362,Tanya Cooper,April,0.970,0.900,0.935
462,Tanya Cooper,May,0.780,0.790,0.785
562,Tanya Cooper,June,0.790,0.760,0.775
662,Tanya Cooper,July,0.840,0.900,0.87
762,Tanya Cooper,August,0.790,0.790,0.79
862,Tanya Cooper,September,0.830,0.840,0.835
962,Tanya Cooper,October,0.920,0.790,0.855
1062,Tanya Cooper,November,0.850,0.840,0.845
1162,Tanya Cooper,December,0.770,0.750,0.76
19,Tara Marshall,January,0.970,0.900,0.935
119,Tara Marshall,February,0.870,0.830,0.85
219,Tara Marshall,March,1.000,0.880,0.94
319,Tara Marshall,April,0.960,0.820,0.89
419,Tara Marshall,May,0.860,0.860,0.86
519,Tara Marshall,June,0.920,0.860,0.89
619,Tara Marshall,July,1.000,0.820,0.91
719,Tara Marshall,August,0.960,0.830,0.895
819,Tara Marshall,September,0.790,0.850,0.82
919,Tara Marshall,October,0.840,0.770,0.805
1019,Tara Marshall,November,0.940,0.780,0.86
1119,Tara Marshall,December,0.760,0.870,0.815
31,Teri Garrison,January,0.930,0.830,0.88
131,Teri Garrison,February,0.880,0.880,0.88
231,Teri Garrison,March,0.880,0.890,0.885
331,Teri Garrison,April,0.930,0.850,0.89
431,Teri Garrison,May,0.790,0.780,0.785
531,Teri Garrison,June,0.770,0.890,0.83
631,Teri Garrison,July,0.770,0.760,0.765
731,Teri Garrison,August,0.920,0.770,0.845
831,Teri Garrison,September,0.920,0.830,0.875
931,Teri Garrison,October,0.750,0.840,0.795
1031,Teri Garrison,November,0.860,0.820,0.84
